"barcode","sample","celltype","UMAP_1","UMAP_2"
"HD-17-Su:345974","HD-17-Su","3",-3.39367596383921,-7.00517195271233
"HD-17-Su:345975","HD-17-Su","2",-5.09036628480784,6.90385753108284
"HD-17-Su:345976","HD-17-Su","2",-6.40736858125559,6.95996648265144
"HD-17-Su:345977","HD-17-Su","5",-6.22550575013987,3.50549251033088
"HD-17-Su:345978","HD-17-Su","1",8.18942602399953,0.8951219339492
"HD-17-Su:345979","HD-17-Su","9",9.15692623380788,-4.19670790241936
"HD-17-Su:345980","HD-17-Su","8",-7.38113204713694,8.46669513179084
"HD-17-Su:345981","HD-17-Su","6",-4.18620244737498,3.5403690953376
"HD-17-Su:345982","HD-17-Su","5",-5.08932248826853,2.92647677851936
"HD-17-Su:345984","HD-17-Su","2",-7.17833749528758,6.08581382228157
"HD-17-Su:345985","HD-17-Su","3",-4.47148124452464,-8.75903099583367
"HD-17-Su:345986","HD-17-Su","2",-5.15794793840281,5.96284610224983
"HD-17-Su:345987","HD-17-Su","1",8.33534296278127,2.59077316714546
"HD-17-Su:345989","HD-17-Su","4",-4.59280864473216,-3.30806034611443
"HD-17-Su:345990","HD-17-Su","2",-6.70530931230418,5.92465049220344
"HD-17-Su:345991","HD-17-Su","4",-4.04360524888865,-3.60729592846611
"HD-17-Su:345992","HD-17-Su","3",-4.88466922517649,-7.60528439091423
"HD-17-Su:345993","HD-17-Su","2",-6.77333060975901,5.80383092356941
"HD-17-Su:345994","HD-17-Su","6",-3.40852610345713,4.01014739466926
"HD-17-Su:345995","HD-17-Su","10",-1.46600727315775,-6.04071014927605
"HD-17-Su:345996","HD-17-Su","2",-7.36877195115916,4.09219891024849
"HD-17-Su:345998","HD-17-Su","3",-4.13224021669261,-8.9325415472863
"HD-17-Su:345999","HD-17-Su","6",-3.18993059869639,5.21565085841438
"HD-17-Su:346000","HD-17-Su","2",-6.77198640581004,6.57024795008918
"HD-17-Su:346001","HD-17-Su","2",-6.91765443559519,5.73161202861091
"HD-17-Su:346002","HD-17-Su","5",-5.30664674516551,1.70939952327034
"HD-17-Su:346003","HD-17-Su","8",-7.7349127935969,8.07389480067512
"HD-17-Su:346004","HD-17-Su","10",-1.80280939813487,-7.32268732594231
"HD-17-Su:346006","HD-17-Su","1",8.09823091749319,1.95080274535438
"HD-17-Su:346007","HD-17-Su","8",-7.53796855684153,7.29490786982795
"HD-17-Su:346008","HD-17-Su","11",6.95424040083059,-2.79329293774346
"HD-17-Su:346009","HD-17-Su","3",-4.96639243837229,-6.96894663380364
"HD-17-Su:346010","HD-17-Su","2",-7.58071891542307,6.59116012049934
"HD-17-Su:346011","HD-17-Su","2",-5.62162296052805,6.99327308131477
"HD-17-Su:346012","HD-17-Su","3",-5.56028358217112,-7.17086714314202
"HD-17-Su:346013","HD-17-Su","2",-7.14288083787791,5.21364432765266
"HD-17-Su:346014","HD-17-Su","1",9.23320015195974,0.451356502306668
"HD-17-Su:346015","HD-17-Su","1",9.06345470670827,1.11115950537941
"HD-17-Su:346016","HD-17-Su","2",-6.24695436235301,6.15059691859504
"HD-17-Su:346017","HD-17-Su","10",-1.71130148645274,-7.0041648726342
"HD-17-Su:346018","HD-17-Su","1",9.67876537565359,0.00118959887048378
"HD-17-Su:346019","HD-17-Su","1",9.89113052610525,1.99242156935951
"HD-17-Su:346020","HD-17-Su","5",-5.72039024110667,1.31958645774147
"HD-17-Su:346021","HD-17-Su","7",7.29508550886281,-11.2240187506554
"HD-17-Su:346022","HD-17-Su","4",-4.30370465989939,-5.6381022314904
"HD-17-Su:346025","HD-17-Su","5",-5.98763982530467,3.85464793635627
"HD-17-Su:346026","HD-17-Su","7",7.0295930695928,-12.1365086417077
"HD-17-Su:346027","HD-17-Su","3",-3.65129510637156,-8.35187786625603
"HD-17-Su:346028","HD-17-Su","9",9.27362449888357,-2.9812921862481
"HD-17-Su:346029","HD-17-Su","1",9.32980163816579,1.78905433608314
"HD-17-Su:346030","HD-17-Su","4",-3.51352159257761,-4.49996536778191
"HD-17-Su:346031","HD-17-Su","2",-5.5668858694636,7.12110072566291
"HD-17-Su:346032","HD-17-Su","2",-5.99305145021311,5.87600785685798
"HD-17-Su:346033","HD-17-Su","1",6.65745838407644,-0.390930173861774
"HD-17-Su:346034","HD-17-Su","5",-6.6334575819575,2.41476279689094
"HD-17-Su:346035","HD-17-Su","1",8.9536915612615,1.47182864142677
"HD-17-Su:346036","HD-17-Su","5",-5.21070091005198,3.2638159413459
"HD-17-Su:346037","HD-17-Su","5",-6.80708352800242,3.86088878108284
"HD-17-Su:346038","HD-17-Su","1",9.63956173185476,0.720645787251202
"HD-17-Su:346039","HD-17-Su","2",-6.78230373140208,6.63244182063362
"HD-17-Su:346040","HD-17-Su","3",-4.61845390077464,-7.5436837057946
"HD-17-Su:346041","HD-17-Su","2",-7.3172372984492,5.49140387965461
"HD-17-Su:346042","HD-17-Su","3",-3.27516237970225,-8.72056454228142
"HD-17-Su:346043","HD-17-Su","5",-6.19679633851878,2.24443441821357
"HD-17-Su:346044","HD-17-Su","10",-1.54729477640025,-6.13241547154167
"HD-17-Su:346045","HD-17-Su","5",-5.30234233613841,2.89333206607124
"HD-17-Su:346046","HD-17-Su","1",6.61507852796682,2.93891865206978
"HD-17-Su:346047","HD-17-Su","11",6.13089378599294,-3.6343843321679
"HD-17-Su:346048","HD-17-Su","1",6.35488136533864,2.47531777812263
"HD-17-Su:346049","HD-17-Su","3",-4.15303699251048,-8.3898751120446
"HD-17-Su:346050","HD-17-Su","5",-5.02391902681223,1.77670330001136
"HD-17-Su:346051","HD-17-Su","3",-3.31038181062571,-7.51569288777092
"HD-17-Su:346052","HD-17-Su","2",-5.14183656450144,6.79047090007087
"HD-17-Su:346053","HD-17-Su","1",9.7995863747991,2.2345293183448
"HD-17-Su:346054","HD-17-Su","5",-5.66144077058665,2.25902921153328
"HD-17-Su:346055","HD-17-Su","14",-1.9854911970698,4.4641378541114
"HD-17-Su:346056","HD-17-Su","1",9.19294555906423,3.16991526080391
"HD-17-Su:346058","HD-17-Su","11",6.26667793516286,-3.4388276915429
"HD-17-Su:346059","HD-17-Su","1",8.32989128355154,0.169107435327975
"HD-17-Su:346060","HD-17-Su","1",9.57671173338064,0.441637279522625
"HD-17-Su:346061","HD-17-Su","2",-6.44833747621409,7.25344830943367
"HD-17-Su:346062","HD-17-Su","1",8.31504543546804,0.968485595715252
"HD-17-Su:346063","HD-17-Su","10",-1.50349466081492,-5.93200987385491
"HD-17-Su:346064","HD-17-Su","1",7.18544157270559,2.30318838549873
"HD-17-Su:346065","HD-17-Su","2",-5.6068143057429,5.86978131724617
"HD-17-Su:346066","HD-17-Su","1",8.51293619398244,-0.553270338046344
"HD-17-Su:346067","HD-17-Su","2",-5.54492179628245,6.34034568263313
"HD-17-Su:346068","HD-17-Su","2",-6.56508867021433,5.96131450129768
"HD-17-Su:346069","HD-17-Su","1",5.1360326600469,1.54224521113655
"HD-17-Su:346070","HD-17-Su","3",-4.10402766939036,-8.93083351658562
"HD-17-Su:346071","HD-17-Su","1",9.80734833006033,-0.349501309859546
"HD-17-Su:346072","HD-17-Su","5",-5.34340659852854,2.92256480647346
"HD-17-Su:346073","HD-17-Su","10",-1.83141009088389,-6.38580387638787
"HD-17-Su:346075","HD-17-Su","5",-5.05608503099314,3.28441435290596
"HD-17-Su:346076","HD-17-Su","2",-6.97683278795115,5.76024753047249
"HD-17-Su:346078","HD-17-Su","10",-1.83490220781199,-6.6852967123864
"HD-17-Su:346079","HD-17-Su","5",-6.44365922685496,2.64643866015693
"HD-17-Su:346080","HD-17-Su","8",-6.6100258040034,8.40134459925911
"HD-17-Su:346082","HD-17-Su","1",8.63873108152517,-0.315340934264454
"HD-17-Su:346083","HD-17-Su","2",-4.39836446519724,5.95004111720344
"HD-17-Su:346085","HD-17-Su","1",9.15627105955251,-0.358160166013034
"HD-17-Su:346086","HD-17-Su","5",-5.54790584321848,1.62044757796547
"HD-17-Su:346087","HD-17-Su","10",-1.53685633417002,-6.72069996403435
"HD-17-Su:346088","HD-17-Su","2",-5.9115690397822,5.81982928706428
"HD-17-Su:346089","HD-17-Su","1",7.00267418150075,0.839640440476147
"HD-17-Su:346090","HD-17-Su","2",-7.90089980836741,6.33289128733894
"HD-17-Su:346091","HD-17-Su","1",9.68626220945486,0.344778062832562
"HD-17-Su:346092","HD-17-Su","1",8.21364458326467,2.21132332278511
"HD-17-Su:346093","HD-17-Su","2",-6.00228778596751,6.34871369792244
"HD-17-Su:346094","HD-17-Su","3",-4.93953983064524,-7.72615355061272
"HD-17-Su:346095","HD-17-Su","3",-4.71893779512278,-8.73386829899529
"HD-17-Su:346096","HD-17-Su","5",-6.18927089448802,3.15712410403511
"HD-17-Su:346097","HD-17-Su","4",-3.56244365449778,-5.09024017857292
"HD-17-Su:346098","HD-17-Su","15",-4.56741563554637,-1.48039930866936
"HD-17-Su:346099","HD-17-Su","14",-3.26851908441416,2.72172934008857
"HD-17-Su:346100","HD-17-Su","8",-7.36972228761546,8.23983890010139
"HD-17-Su:346101","HD-17-Su","7",7.4576969933904,-11.7463223318932
"HD-17-Su:346102","HD-17-Su","5",-6.00767318483225,1.52334660483619
"HD-17-Su:346103","HD-17-Su","2",-5.27398244615428,6.80962211085579
"HD-17-Su:346104","HD-17-Su","3",-4.72979108568064,-7.35265129612664
"HD-17-Su:346105","HD-17-Su","1",8.20998342756399,1.15832740260383
"HD-17-Su:346106","HD-17-Su","6",-3.26939265008799,5.40452557994148
"HD-17-Su:346107","HD-17-Su","5",-6.32524434800974,3.18349987460395
"HD-17-Su:346108","HD-17-Su","2",-5.82399312730662,6.52180558635017
"HD-17-Su:346109","HD-17-Su","1",7.83667381528982,0.986583890450207
"HD-17-Su:346110","HD-17-Su","2",-5.80477372880808,6.28434497309944
"HD-17-Su:346111","HD-17-Su","3",-2.81732813592783,-7.66789024876335
"HD-17-Su:346113","HD-17-Su","3",-3.96657935853831,-8.52612656162957
"HD-17-Su:346114","HD-17-Su","1",9.52950008634695,2.43669086886665
"HD-17-Su:346115","HD-17-Su","3",-4.55999366517893,-9.0240418295739
"HD-17-Su:346116","HD-17-Su","9",9.69349201444753,-3.41410082386711
"HD-17-Su:346117","HD-17-Su","13",-0.737657825907388,-15.7628762106774
"HD-17-Su:346118","HD-17-Su","1",6.33595045332082,-0.475899575221332
"HD-17-Su:346119","HD-17-Su","3",-4.36343042131297,-8.26784866856316
"HD-17-Su:346120","HD-17-Su","2",-4.26312867875926,6.58842736674568
