"barcode","sample"
"HD-17-Su:345974","HD-17-Su"
"HD-17-Su:345975","HD-17-Su"
"HD-17-Su:345976","HD-17-Su"
"HD-17-Su:345977","HD-17-Su"
"HD-17-Su:345978","HD-17-Su"
"HD-17-Su:345979","HD-17-Su"
"HD-17-Su:345980","HD-17-Su"
"HD-17-Su:345981","HD-17-Su"
"HD-17-Su:345982","HD-17-Su"
"HD-17-Su:345984","HD-17-Su"
"HD-17-Su:345985","HD-17-Su"
"HD-17-Su:345986","HD-17-Su"
"HD-17-Su:345987","HD-17-Su"
"HD-17-Su:345989","HD-17-Su"
"HD-17-Su:345990","HD-17-Su"
"HD-17-Su:345991","HD-17-Su"
"HD-17-Su:345992","HD-17-Su"
"HD-17-Su:345993","HD-17-Su"
"HD-17-Su:345994","HD-17-Su"
"HD-17-Su:345995","HD-17-Su"
"HD-17-Su:345996","HD-17-Su"
"HD-17-Su:345998","HD-17-Su"
"HD-17-Su:345999","HD-17-Su"
"HD-17-Su:346000","HD-17-Su"
"HD-17-Su:346001","HD-17-Su"
"HD-17-Su:346002","HD-17-Su"
"HD-17-Su:346003","HD-17-Su"
"HD-17-Su:346004","HD-17-Su"
"HD-17-Su:346006","HD-17-Su"
"HD-17-Su:346007","HD-17-Su"
"HD-17-Su:346008","HD-17-Su"
"HD-17-Su:346009","HD-17-Su"
"HD-17-Su:346010","HD-17-Su"
"HD-17-Su:346011","HD-17-Su"
"HD-17-Su:346012","HD-17-Su"
"HD-17-Su:346013","HD-17-Su"
"HD-17-Su:346014","HD-17-Su"
"HD-17-Su:346015","HD-17-Su"
"HD-17-Su:346016","HD-17-Su"
"HD-17-Su:346017","HD-17-Su"
"HD-17-Su:346018","HD-17-Su"
"HD-17-Su:346019","HD-17-Su"
"HD-17-Su:346020","HD-17-Su"
"HD-17-Su:346021","HD-17-Su"
"HD-17-Su:346022","HD-17-Su"
"HD-17-Su:346025","HD-17-Su"
"HD-17-Su:346026","HD-17-Su"
"HD-17-Su:346027","HD-17-Su"
"HD-17-Su:346028","HD-17-Su"
"HD-17-Su:346029","HD-17-Su"
"HD-17-Su:346030","HD-17-Su"
"HD-17-Su:346031","HD-17-Su"
"HD-17-Su:346032","HD-17-Su"
"HD-17-Su:346033","HD-17-Su"
"HD-17-Su:346034","HD-17-Su"
"HD-17-Su:346035","HD-17-Su"
"HD-17-Su:346036","HD-17-Su"
"HD-17-Su:346037","HD-17-Su"
"HD-17-Su:346038","HD-17-Su"
"HD-17-Su:346039","HD-17-Su"
"HD-17-Su:346040","HD-17-Su"
"HD-17-Su:346041","HD-17-Su"
"HD-17-Su:346042","HD-17-Su"
"HD-17-Su:346043","HD-17-Su"
"HD-17-Su:346044","HD-17-Su"
"HD-17-Su:346045","HD-17-Su"
"HD-17-Su:346046","HD-17-Su"
"HD-17-Su:346047","HD-17-Su"
"HD-17-Su:346048","HD-17-Su"
"HD-17-Su:346049","HD-17-Su"
"HD-17-Su:346050","HD-17-Su"
"HD-17-Su:346051","HD-17-Su"
"HD-17-Su:346052","HD-17-Su"
"HD-17-Su:346053","HD-17-Su"
"HD-17-Su:346054","HD-17-Su"
"HD-17-Su:346055","HD-17-Su"
"HD-17-Su:346056","HD-17-Su"
"HD-17-Su:346058","HD-17-Su"
"HD-17-Su:346059","HD-17-Su"
"HD-17-Su:346060","HD-17-Su"
"HD-17-Su:346061","HD-17-Su"
"HD-17-Su:346062","HD-17-Su"
"HD-17-Su:346063","HD-17-Su"
"HD-17-Su:346064","HD-17-Su"
"HD-17-Su:346065","HD-17-Su"
"HD-17-Su:346066","HD-17-Su"
"HD-17-Su:346067","HD-17-Su"
"HD-17-Su:346068","HD-17-Su"
"HD-17-Su:346069","HD-17-Su"
"HD-17-Su:346070","HD-17-Su"
"HD-17-Su:346071","HD-17-Su"
"HD-17-Su:346072","HD-17-Su"
"HD-17-Su:346073","HD-17-Su"
"HD-17-Su:346075","HD-17-Su"
"HD-17-Su:346076","HD-17-Su"
"HD-17-Su:346078","HD-17-Su"
"HD-17-Su:346079","HD-17-Su"
"HD-17-Su:346080","HD-17-Su"
"HD-17-Su:346082","HD-17-Su"
"HD-17-Su:346083","HD-17-Su"
"HD-17-Su:346085","HD-17-Su"
"HD-17-Su:346086","HD-17-Su"
"HD-17-Su:346087","HD-17-Su"
"HD-17-Su:346088","HD-17-Su"
"HD-17-Su:346089","HD-17-Su"
"HD-17-Su:346090","HD-17-Su"
"HD-17-Su:346091","HD-17-Su"
"HD-17-Su:346092","HD-17-Su"
"HD-17-Su:346093","HD-17-Su"
"HD-17-Su:346094","HD-17-Su"
"HD-17-Su:346095","HD-17-Su"
"HD-17-Su:346096","HD-17-Su"
"HD-17-Su:346097","HD-17-Su"
"HD-17-Su:346098","HD-17-Su"
"HD-17-Su:346099","HD-17-Su"
"HD-17-Su:346100","HD-17-Su"
"HD-17-Su:346101","HD-17-Su"
"HD-17-Su:346102","HD-17-Su"
"HD-17-Su:346103","HD-17-Su"
"HD-17-Su:346104","HD-17-Su"
"HD-17-Su:346105","HD-17-Su"
"HD-17-Su:346106","HD-17-Su"
"HD-17-Su:346107","HD-17-Su"
"HD-17-Su:346108","HD-17-Su"
"HD-17-Su:346109","HD-17-Su"
"HD-17-Su:346110","HD-17-Su"
"HD-17-Su:346111","HD-17-Su"
"HD-17-Su:346113","HD-17-Su"
"HD-17-Su:346114","HD-17-Su"
"HD-17-Su:346115","HD-17-Su"
"HD-17-Su:346116","HD-17-Su"
"HD-17-Su:346117","HD-17-Su"
"HD-17-Su:346118","HD-17-Su"
"HD-17-Su:346119","HD-17-Su"
"HD-17-Su:346120","HD-17-Su"
"HD-17-Su:346121","HD-17-Su"
"HD-17-Su:346122","HD-17-Su"
"HD-17-Su:346123","HD-17-Su"
"HD-17-Su:346124","HD-17-Su"
"HD-17-Su:346125","HD-17-Su"
"HD-17-Su:346126","HD-17-Su"
"HD-17-Su:346127","HD-17-Su"
"HD-17-Su:346129","HD-17-Su"
"HD-17-Su:346130","HD-17-Su"
"HD-17-Su:346131","HD-17-Su"
"HD-17-Su:346132","HD-17-Su"
"HD-17-Su:346133","HD-17-Su"
"HD-17-Su:346134","HD-17-Su"
"HD-17-Su:346135","HD-17-Su"
